CovRow,z_0.38,z_0.51,z_0.698,z_0.706,z_0.93,z_0.934,z_1.317,z_1.321,z_1.48,z_1.484,z_2.33,z_2.334,ClaimBoundary
z_0.38,1664.9738060693417,402.103481311698,147.44834369100326,142.94628995861146,73.79074055775715,73.12401609598041,39.06016960332218,38.87472664201186,32.789725641289834,32.66339274002628,18.74794277689566,18.71329930648778,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
z_0.51,402.103481311698,100.19214272584921,37.09322780994616,35.967816463541595,18.61619390291214,18.44818250917143,9.83408668540091,9.786974883791013,8.239108303653007,8.206928193102977,4.647324416733354,4.638417749241292,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
z_0.698,147.44834369100326,37.09322780994616,13.786364694290729,13.369550090326326,6.935148041090594,6.872751699352662,3.6694309813955464,3.6518806083532533,3.0749751603244393,3.0629749138662272,1.7334122707816424,1.730079109178133,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
z_0.706,142.94628995861146,35.967816463541595,13.369550090326326,12.965386354473802,6.726112999510454,6.665606882602762,3.55923342675036,3.5422135172849893,2.9827388461080546,2.9711010374392726,1.6816479659324544,1.6784152205950609,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
z_0.93,73.79074055775715,18.61619390291214,6.935148041090594,6.726112999510454,3.498095250905913,3.466777885397212,1.8583078143224547,1.849490309780907,1.5596032100388164,1.553572299268301,0.8850852201969227,0.8834085081823992,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
z_0.934,73.12401609598041,18.44818250917143,6.872751699352662,6.665606882602762,3.466777885397212,3.435743675113266,1.8418149835496769,1.8330771858681656,1.545810564427604,1.5398341717679194,0.8773909702959674,0.8757294210955325,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
z_1.317,39.06016960332218,9.83408668540091,3.6694309813955464,3.55923342675036,1.8583078143224547,1.8418149835496769,0.995172053986359,0.9905344009621738,0.8381048570222656,0.8349345849518018,0.48388614160982435,0.48300674085184847,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
z_1.321,38.87472664201186,9.786974883791013,3.6518806083532533,3.5422135172849893,1.849490309780907,1.8330771858681656,0.9905344009621738,0.9859192752610394,0.8342308677501502,0.8310760265367559,0.48174236536307175,0.4808672789926497,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
z_1.48,32.789725641289834,8.239108303653007,3.0749751603244393,2.9827388461080546,1.5596032100388164,1.545810564427604,0.8381048570222656,0.8342308677501502,0.7069284459715679,0.7042814025132066,0.411401732240319,0.4106687560988396,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
z_1.484,32.66339274002628,8.206928193102977,3.0629749138662272,2.9711010374392726,1.553572299268301,1.5398341717679194,0.8349345849518018,0.8310760265367559,0.7042814025132066,0.7016449346609653,0.4099415461407067,0.40921153266702776,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
z_2.33,18.74794277689566,4.647324416733354,1.7334122707816424,1.6816479659324544,0.8850852201969227,0.8773909702959674,0.48388614160982435,0.48174236536307175,0.411401732240319,0.4099415461407067,0.2492638975825252,0.2488644734141938,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
z_2.334,18.71329930648778,4.638417749241292,1.730079109178133,1.6784152205950609,0.8834085081823992,0.8757294210955325,0.48300674085184847,0.4808672789926497,0.4106687560988396,0.40921153266702776,0.2488644734141938,0.2484658850863226,full_normalized_pysr_backreaction_smoke_null_no_measurement_validation
