RouteID,BootstrapIndex,z,D,D_prime,D_double_prime,FinitePrediction,ClaimBoundary
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,2,0.51,1813.6103954685611,2337.8917260740304,0.0,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,2,0.698,2253.134039970417,2337.8917260740304,-1.1910254976183645e-05,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,2,0.706,2271.8371737790058,2337.8917260740304,1.1910254976183645e-05,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,2,0.93,2795.524920419515,2337.8917260728667,0.0,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,2,0.934,2804.8764873238097,2337.8917260740304,1.1910254976183645e-05,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,2,1.317,3700.289018410037,2337.8917260740304,-1.1910254976183645e-05,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,2,1.321,3709.6405853143315,2337.8917260740304,1.1910254976183645e-05,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,2,1.48,4081.36536976005,2337.8917260740304,1.1910254976183645e-05,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,2,1.484,4090.7169366643448,2337.8917260728667,0.0,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,2,2.33,6068.573336922695,2337.8917260728667,0.0,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
