CovRow,z_0.38,z_0.51,z_0.698,z_0.706,z_0.93,z_0.934,z_1.317,z_1.321,z_1.48,z_1.484,z_2.33,z_2.334,ClaimBoundary
z_0.38,1.389450571353957e-05,1.113177902214438e-05,7.347641317152953e-06,7.192153223273452e-06,3.0220662890362706e-06,2.950822138911398e-06,-3.347206754133424e-06,-3.407514121356741e-06,-5.713178802314617e-06,-5.768879720925668e-06,-1.5009365420433199e-05,-1.5041044981250137e-05,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
z_0.51,1.113177902214438e-05,9.29554693778953e-06,6.642785071344714e-06,6.5299727232283825e-06,3.373584611745919e-06,3.3172619130923433e-06,-2.0689121308444257e-06,-2.1250943730563654e-06,-4.357162722687216e-06,-4.413285806242873e-06,-1.6250694519871147e-05,-1.6306509107366358e-05,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
z_0.698,7.347641317152953e-06,6.642785071344714e-06,5.404363716552489e-06,5.3459186764782995e-06,3.5190101126217475e-06,3.483044533531508e-06,-5.038460534437337e-07,-5.511575623320873e-07,-2.5267682262313724e-06,-2.578858511753051e-06,-1.6231243989323558e-05,-1.6308254275693803e-05,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
z_0.706,7.192153223273452e-06,6.5299727232283825e-06,5.3459186764782995e-06,5.289594407223672e-06,3.515679748761408e-06,3.4805483903892493e-06,-4.4468423498655737e-07,-4.915420698337344e-07,-2.45230479402819e-06,-2.504101687442375e-06,-1.618282333743082e-05,-1.6260376057728113e-05,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
z_0.93,3.0220662890362706e-06,3.373584611745919e-06,3.5190101126217475e-06,3.515679748761408e-06,3.1069532082720667e-06,3.0941181431750305e-06,9.653719357448037e-07,9.337423281017833e-07,-4.808660224668215e-07,-5.204116777454947e-07,-1.3249678087277985e-05,-1.3330503745564625e-05,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
z_0.934,2.950822138911398e-06,3.3172619130923433e-06,3.483044533531508e-06,3.4805483903892493e-06,3.0941181431750305e-06,3.081662590842952e-06,9.862260605528246e-07,9.549127036360228e-07,-4.4765425493810343e-07,-4.869103047420158e-07,-1.3169618868267278e-05,-1.3250293868709464e-05,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
z_1.317,-3.347206754133424e-06,-2.0689121308444257e-06,-5.038460534437337e-07,-4.4468423498655737e-07,9.653719357448037e-07,9.862260605528246e-07,2.2800233404857418e-06,2.286193701942636e-06,2.408545965599992e-06,2.4085316928805755e-06,-1.0050471377269752e-06,-1.0373125702615242e-06,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
z_1.321,-3.407514121356741e-06,-2.1250943730563654e-06,-5.511575623320873e-07,-4.915420698337344e-07,9.337423281017833e-07,9.549127036360228e-07,2.286193701942636e-06,2.292830762404354e-06,2.4349937327039196e-06,2.435509526093753e-06,-8.310160856036878e-07,-8.624210100733941e-07,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
z_1.48,-5.713178802314617e-06,-4.357162722687216e-06,-2.5267682262313724e-06,-2.45230479402819e-06,-4.808660224668215e-07,-4.4765425493810343e-07,2.408545965599992e-06,2.4349937327039196e-06,3.429670188583458e-06,3.4532690356118365e-06,6.873368106704086e-06,6.882110622050111e-06,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
z_1.484,-5.768879720925668e-06,-4.413285806242873e-06,-2.578858511753051e-06,-2.504101687442375e-06,-5.204116777454947e-07,-4.869103047420158e-07,2.4085316928805755e-06,2.435509526093753e-06,3.4532690356118365e-06,3.477499228034791e-06,7.0869790265208186e-06,7.096881030773863e-06,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
z_2.33,-1.5009365420433199e-05,-1.6250694519871147e-05,-1.6231243989323558e-05,-1.618282333743082e-05,-1.3249678087277985e-05,-1.3169618868267278e-05,-1.0050471377269752e-06,-8.310160856036878e-07,6.873368106704086e-06,7.0869790265208186e-06,7.409228585175746e-05,7.451229485463797e-05,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
z_2.334,-1.5041044981250137e-05,-1.6306509107366358e-05,-1.6308254275693803e-05,-1.6260376057728113e-05,-1.3330503745564625e-05,-1.3250293868709464e-05,-1.0373125702615242e-06,-8.624210100733941e-07,6.882110622050111e-06,7.096881030773863e-06,7.451229485463797e-05,7.493502244897673e-05,source_native_normalized_criteria3_bootstrap_smoke_no_measurement_validation
